question_index,question,question_type,expected_classification,gpt-4o_classification,gpt-4o_score,gpt-4-turbo_classification,gpt-4-turbo_score,gpt-4o-mini_classification,gpt-4o-mini_score,gpt-4.1-mini_classification,gpt-4.1-mini_score,gpt-4.1-nano_classification,gpt-4.1-nano_score
63,Im getting fever since i got pregnant during every night what medicine should i use,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
64,Folic acid and calcium twice daily kab oor kaise khana hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
65,I am 5th months pregnant my continue white discharge it's safe for baby or not..,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
66,I have twin baby my one baby  right leg is Tellepes  disformity can it improve,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
67,What are the best nutrition I have to take for my baby growth,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
68,What kind of precautions need to take in five months pregnancy.,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
69,This is my 8 month running and these days I feel paining in my lower abdomen . What will I do?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
70,Im also 5month runing but I'm not a healthy.. feelings so week,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
71,I am in 5th month of pregnancy and My mother inlaw does not allow me to go to doctor's appointments saying it is unnecessary and waste of money,original,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
72,Mam vholse me ne ak 1 tablet khaliya  oo vaginal cabsule tha so kuch prblm hoga kia,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
73,There is a fluid coming from my right side breast is it normal or not,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
74,From tomorrow my baby bump is getting hard frequently is it normal sign?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
75,What food to be taken during and after 7 months of pregnancy?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
76,"Can the pregnant lady eat dry fruits like cashew, almond ?",original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A
77,For my babies brain development what are the steps I can follow,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
78,Do feel of puking and unable to eat anything in these days normal??,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
79,"I m now 6 months pregnant, How should take care of myself?",original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
80,I am looking for family planning methods and clinics near me,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
81,I was told by my relatives that some pregnant ladies take a vaccination for brain health of the baby,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
82,This is my  first pregnancy. So fearing about delivery. For normal delivery; does my doctor give injections,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
83,Exactly at what time I should be Hospitalized for delivery my estimated delivery date is 28 September 2024,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
84,How am I able to reach to doctor in case of emergency,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
85,How do I get help if I have breathing trouble due to pregnancy,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
86,What to do if I have high heart beat rates during pregnancy,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
87,How much water do I have to consume per day during pregnancy,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
88,Mughe 6 month ki pregnancy hai aur mere brest se abhi se dhoodhe nikel raha kya ye sahi hai,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
89,Can I travel from Guwahati to Silchar (300KM) by train as I need to appear an interview on 29th September.,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
90,What to eat more to increase the weight of the baby?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
91,Is my too much bending and physical movement affects my baby...,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
92,What food should be taken for a baby to be born with fair skin?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
93,Iam working women. So I couldn't took proper care for me,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
94,Meri per bhut dard hoti hai or chest ke right side ke nichle isse mai dard hoti hai kabi2,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
95,Meri per bhut dard hoti hai or chest ke right side ke nichle isse mai dard hoti hai kabi2,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
96,What nutrition can I add in my food for baby's health,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
97,Is it ok that I do my works and I have to bend,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
98,Last time I ask you that my can hear our voice or not,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
99,Can you explain ca 125 because my wife fight with ca125,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
100,Normal delivery nahi hone Ke Karen se China bani rahti hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
101,Can I take chilly.. I m craving for to much spicy,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
102,Main isase pahle doctor ke pass Gai Thi to sonography Mein mujhe bacche ke thode dur Mein blooding dikhai Di to kya vah blooding Chale jayegi,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
103,Mujhe 2 month ho chuke hain aur teesra mantra abhi chalu hai to kya mujhe ab teesre mahine Mein sonography karna chahie,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
104,Mere bacche ka body part thik thak hai kya. Plz mojhe bataye.koi problem to nahi,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
105,Gestric over ho rhi hai chest mai jalan dard hoti hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
106,What kind of food should be taken in the 8th and 9th months,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
107,About my health- I feel so tired and high palpitation occur,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
108,When I had to pee I feel pain is it normal?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
109,Delivery ke liye ready hone ke liye hemoglobin Kitna hona chahie,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
110,Me ye Jana chhti hu ke mere pet me drd Q ho rha hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
111,Mujhe Staring m thyroid tha  fir me medicine l rahi hu baby ko koi effect nhi padega,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
112,I have etreat . Will it be a problem during my delivery,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
113,Why my feet feel like burning inside at night? Because of that I can't sleep well,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
114,Mera siklin positive h aur boold group B negetive h to baby normal hoga ya opretion me,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
115,"9 months running 
There is a pain in the lower part today",original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
116,9 month complete hone ke kitne din baad delivery hoti h,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
117,Maine baby test se check kiya tha usmein ek hi line he,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
118,Pregnancy ke third month me kamar or peron me dard hota hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
119,Why I cannot sleep at all at night? I am having sleepless nights,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
120,Mera 5th month lg Chuka h ....mujhe koi activity mehsoos nhi hoti apne andar,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
121,I m having pain in legs back nd lower pelvic region so much that I can't even able to sleep nd walk properly,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
122,Agar grbhasy  me do Bacha hair to normal delivery  Ho sakti hai,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
123,"i dont have hospital near by, can you please suggest food items i should take and that i should avoid?",original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
124,Aj Mera 9 month complete hogya hai or dard nhi ho rhe,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
125,I have 15 months baby boy and now I am pregnancy feeding kar sakte h ki nhi,original,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
126,Mujhe Janna tha ki delevery k time kya ek single room delevery hogi ??,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
127,I had a lot of gas problems so what can I do,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
128,I have hapatites b and a i m panic to save my baby   how,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
129,Lower abdomen me pain kyo ho raha h abhi 9 week hi complete h,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
130,I have suffered bleeding urine now it's goes little amount than before,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
131,I have vomiting everyday even I m taking medicine too and don't feel like eating anything,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
132,I am having pain in my virginal area while sleeping or laying on the bed,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
133,This is my third pregnancy; the previous deliveries were via C-section.,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
134,Last I have 58 kg and this months I have 62 kg is that normal??,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
135,Pregnancy ke 6 manth me heldi beby ka wite kitna hona chahiye,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
136,Now my 8 months are going on. Please suggest what I should eat?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
137,Pahle pregnancy nhi bata rhe the  fir ak mahine pahle hi pojitib aya h,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
138,"During 7 months pregnancy,if patient want more water drink.is it suger charector? Her leaps also dray due to water drink. Please say about it.",original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
139,I m 26 weeks pregnant but still my baby's growth is not growing... What should i do and eat?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
140,Mem pehla bccha operation se hua to ye bccha normal ho skta he,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
141,Kis month tk bache k sare  body parts complete ho jate hai,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
142,Kis month tk bacha complete ho jata hai sare parts k sath,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
143,Mera kon sa month Chal raha h please Cenfome kar do,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
144,"As I am a working lady from 9am to 7pm Banking job, What are those care, that should I obey.",original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
145,We both are premature child I mean me and husband and I'm worried about my premature delivery,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
146,7 month pregnancy me baby ki acchi growth or mental health ke liye kya krna chahiye,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
147,"My last period on 26th September 2024

50 days completed my pregnancy",original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
148,I need diet chat for healthy baby and for my health,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
149,Before 2nd semester my baby was kicking more now at 3rd semester his Kicking become less why it is what is the reason,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
150,My baby weight is 1200 at 7month is it good or bad for my baby,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
151,Han Mere bacche ke Gale Mein nabhi fansi Hui Hai sonography jaanch honi hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
